time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-01T13:09:49.581Z,19.6848,94.5597,68.26,4.6,mb,83,76,1.489,0.4,us,us7000ilpd,2022-11-07T19:17:43.040Z,"64 km SSW of Minbu, Myanmar",earthquake,8.91,6.409,0.059,89,reviewed,us,us
2022-10-31T00:45:56.922Z,26.6099,96.5205,10,4.6,mb,62,73,5.834,0.53,us,us7000ilef,2022-11-28T04:10:35.040Z,"53 km NNW of Sarupathar, India",earthquake,9.42,1.788,0.095,33,reviewed,us,us
2022-10-30T23:02:28.181Z,13.5414,94.2712,10,4.5,mb,23,89,2.395,0.75,us,us7000ildw,2022-11-28T04:18:00.040Z,"Andaman Islands, India region",earthquake,8.65,1.891,0.191,8,reviewed,us,us
2022-10-30T03:41:50.868Z,29.5573,81.0921,10,4.5,mb,26,168,4.074,0.61,us,us7000ila6,2022-12-07T21:50:26.040Z,"Nepal",earthquake,8.9,1.689,0.164,11,reviewed,us,us
2022-10-25T21:08:11.088Z,37.6993,92.2723,10,4.5,mb,62,49,10.741,0.55,us,us7000ikc3,2022-11-07T23:58:44.040Z,"northern Qinghai, China",earthquake,9.07,1.86,0.08,46,reviewed,us,us
2022-10-23T15:06:57.464Z,37.632,77.8322,10,5,mww,110,78,3.82,0.48,us,us6000ivxq,2022-10-27T19:21:26.040Z,"91 km WNW of Zangguy, China",earthquake,7.36,1.818,0.093,11,reviewed,us,us
2022-10-23T14:53:19.355Z,37.564,77.8671,10,4.7,mb,92,46,3.893,0.42,us,us6000ivxl,2022-10-27T19:14:16.040Z,"85 km WNW of Zangguy, China",earthquake,7.24,1.819,0.07,65,reviewed,us,us
2022-10-21T16:00:43.782Z,24.1894,94.6086,89.761,4.5,mb,47,77,4.077,0.55,us,us6000ivkb,2022-11-13T15:46:25.799Z,"64 km NNE of Mawlaik, Myanmar",earthquake,8.73,8.578,0.104,27,reviewed,us,us
2022-10-20T06:46:55.511Z,11.5884,93.1518,90.086,5.1,mb,101,45,6.556,0.62,us,us6000iv38,2022-11-16T13:39:28.632Z,"Andaman Islands, India region",earthquake,8.24,6.45,0.057,100,reviewed,us,us
2022-10-19T09:22:40.123Z,27.894,86.0386,23.943,4.9,mb,51,56,0.679,0.74,us,us6000iut9,2022-10-28T08:16:01.980Z,"10 km SE of Kod?ri??, Nepal",earthquake,6.4,5.545,0.076,54,reviewed,us,us
